Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,244.000000,250.750000,243.850006,249.699997,249.699997,61
2021-03-23,243.800003,250.100006,243.800003,249.149994,249.149994,0
2021-03-24,244.600006,247.699997,240.399994,240.800003,240.800003,2
2021-03-25,239.649994,240.750000,236.550003,236.550003,236.550003,6
2021-03-26,237.050003,241.050003,236.000000,236.899994,236.899994,1
2021-03-29,239.449997,247.850006,238.149994,247.850006,247.850006,433
2021-03-30,247.649994,248.500000,245.899994,247.250000,247.250000,22
2021-03-31,245.050003,251.850006,244.949997,251.850006,251.850006,0
2021-04-01,252.500000,255.600006,252.250000,252.500000,252.500000,1
2021-04-06,260.899994,262.100006,258.450012,259.399994,259.399994,32
2021-04-07,260.000000,262.799988,257.850006,262.799988,262.799988,2
2021-04-08,267.100006,267.100006,260.799988,262.049988,262.049988,61
2021-04-09,263.450012,263.850006,262.250000,262.299988,262.299988,9
2021-04-12,263.200012,263.200012,259.649994,260.549988,260.549988,1
2021-04-13,261.450012,262.100006,261.350006,261.649994,261.649994,0
2021-04-14,257.399994,260.000000,253.300003,254.100006,254.100006,21
2021-04-15,254.149994,259.049988,254.149994,259.049988,259.049988,0
2021-04-16,256.899994,257.350006,254.550003,254.550003,254.550003,0
2021-04-19,255.399994,255.750000,251.199997,251.199997,251.199997,0
2021-04-20,251.100006,251.100006,247.500000,249.750000,249.750000,20
2021-04-21,248.899994,251.000000,247.899994,249.300003,249.300003,4
2021-04-22,250.500000,251.750000,247.600006,249.500000,249.500000,50
2021-04-23,248.649994,249.750000,246.850006,249.250000,249.250000,50
2021-04-26,248.949997,252.699997,248.800003,250.100006,250.100006,0
2021-04-27,252.350006,252.350006,249.850006,252.250000,252.250000,0
2021-04-28,255.149994,256.700012,253.050003,254.350006,254.350006,9
2021-04-29,268.250000,272.750000,267.149994,269.200012,269.200012,87
2021-04-30,269.700012,272.799988,269.500000,270.950012,270.950012,140
2021-05-03,269.049988,271.549988,267.250000,267.250000,267.250000,57
2021-05-04,267.799988,267.799988,260.799988,261.799988,261.799988,0
2021-05-05,265.649994,266.350006,263.899994,263.899994,263.899994,2
2021-05-06,262.500000,264.600006,260.850006,264.600006,264.600006,0
2021-05-07,266.899994,268.200012,263.350006,263.350006,263.350006,18
2021-05-10,262.899994,262.899994,251.600006,252.550003,252.550003,37
2021-05-11,249.000000,251.649994,246.949997,251.649994,251.649994,0
2021-05-12,251.649994,252.800003,247.649994,248.850006,248.850006,10
2021-05-13,251.649994,254.149994,249.100006,251.199997,251.199997,0
2021-05-14,254.550003,258.600006,253.500000,258.600006,258.600006,0
2021-05-17,261.600006,261.600006,257.049988,257.250000,257.250000,10
2021-05-18,260.549988,261.399994,256.850006,256.850006,256.850006,0
2021-05-19,251.850006,255.649994,249.699997,255.649994,255.649994,0
2021-05-20,256.450012,260.549988,255.600006,260.549988,260.549988,0
2021-05-21,261.500000,262.200012,259.700012,261.600006,261.600006,0
2021-05-25,267.200012,268.250000,265.700012,267.799988,267.799988,1
2021-05-26,268.700012,269.799988,266.799988,269.799988,269.799988,0
2021-05-27,268.450012,273.000000,266.700012,271.500000,271.500000,30
2021-05-28,272.549988,273.649994,270.600006,271.000000,271.000000,1
2021-05-31,269.100006,269.649994,267.649994,267.649994,267.649994,37
2021-06-01,268.850006,269.700012,267.850006,269.500000,269.500000,0
2021-06-02,269.000000,271.799988,269.000000,269.100006,269.100006,0
2021-06-03,270.350006,270.649994,267.100006,269.899994,269.899994,0
2021-06-04,268.450012,272.700012,266.000000,271.950012,271.950012,0
2021-06-07,271.950012,276.250000,270.299988,275.399994,275.399994,0
2021-06-08,275.799988,277.250000,273.799988,273.799988,273.799988,1
2021-06-09,274.149994,274.950012,273.250000,274.049988,274.049988,0
2021-06-10,271.950012,272.649994,270.299988,272.250000,272.250000,0
2021-06-11,274.100006,274.799988,272.500000,272.899994,272.899994,8
2021-06-14,273.750000,276.799988,273.299988,276.799988,276.799988,37
2021-06-15,277.399994,279.399994,276.950012,277.250000,277.250000,5
2021-06-16,278.450012,278.450012,273.899994,275.299988,275.299988,30
2021-06-17,273.899994,282.950012,273.899994,282.250000,282.250000,24
2021-06-18,284.200012,284.200012,279.299988,279.850006,279.850006,3
2021-06-21,278.600006,279.250000,275.250000,277.549988,277.549988,0
2021-06-22,279.350006,281.850006,278.399994,280.649994,280.649994,75
2021-06-23,284.399994,286.000000,283.950012,285.750000,285.750000,0
2021-06-24,286.450012,288.950012,286.450012,287.450012,287.450012,50
2021-06-25,287.700012,288.100006,284.399994,285.950012,285.950012,0
2021-06-28,286.600006,288.649994,285.350006,288.549988,288.549988,0
2021-06-29,299.350006,299.500000,293.350006,295.950012,295.950012,4
2021-06-30,295.899994,296.000000,293.600006,294.649994,294.649994,0
2021-07-01,294.049988,296.450012,292.700012,296.450012,296.450012,10
2021-07-02,298.350006,300.700012,298.299988,298.450012,298.450012,10
2021-07-05,299.649994,299.649994,298.600006,299.399994,299.399994,14
2021-07-06,298.850006,300.799988,295.899994,298.100006,298.100006,2
2021-07-07,298.450012,301.700012,297.700012,297.700012,297.700012,0
2021-07-08,295.350006,295.750000,290.500000,294.149994,294.149994,121
2021-07-09,291.399994,294.950012,290.700012,294.950012,294.950012,165
2021-07-12,296.700012,298.200012,295.049988,298.000000,298.000000,165
2021-07-13,298.600006,299.700012,296.250000,299.049988,299.049988,100
2021-07-14,299.500000,299.500000,293.649994,294.450012,294.450012,14
2021-07-15,294.049988,295.750000,289.149994,289.299988,289.299988,0
2021-07-16,290.600006,292.200012,288.500000,290.149994,290.149994,12
2021-07-19,289.399994,289.549988,284.350006,284.950012,284.950012,29
2021-07-20,287.899994,289.450012,284.799988,289.350006,289.350006,25
2021-07-21,291.250000,292.100006,289.649994,292.000000,292.000000,10
2021-07-22,294.299988,297.500000,293.200012,297.200012,297.200012,0
2021-07-23,305.399994,318.049988,305.350006,315.950012,315.950012,17
2021-07-26,314.450012,316.649994,312.299988,314.649994,314.649994,1
2021-07-27,315.549988,316.750000,308.600006,308.600006,308.600006,0
2021-07-28,315.100006,316.799988,314.100006,314.750000,314.750000,0
2021-07-29,305.049988,305.950012,301.750000,301.799988,301.799988,61
2021-07-30,299.450012,303.250000,296.649994,301.649994,301.649994,0
2021-08-02,302.000000,302.000000,297.399994,297.399994,297.399994,20
2021-08-03,296.200012,297.049988,294.399994,295.899994,295.899994,0
2021-08-04,295.850006,303.450012,295.000000,303.450012,303.450012,90
2021-08-05,302.649994,305.399994,302.500000,305.350006,305.350006,0
2021-08-06,306.549988,309.049988,306.299988,308.450012,308.450012,0
2021-08-09,309.399994,309.950012,307.700012,308.600006,308.600006,1
2021-08-10,307.850006,309.700012,306.950012,308.100006,308.100006,0
2021-08-11,306.399994,308.500000,305.700012,306.649994,306.649994,11
2021-08-12,305.750000,308.250000,304.600006,308.250000,308.250000,0
2021-08-13,308.700012,309.600006,307.149994,307.299988,307.299988,0
2021-08-16,307.149994,309.899994,304.649994,306.899994,306.899994,0
2021-08-17,310.899994,310.899994,304.250000,304.250000,304.250000,0
2021-08-18,306.250000,306.950012,305.200012,306.250000,306.250000,0
2021-08-19,302.000000,305.899994,300.350006,304.100006,304.100006,3
2021-08-20,303.600006,306.600006,301.799988,305.899994,305.899994,7
2021-08-23,309.100006,311.049988,306.149994,310.750000,310.750000,4
2021-08-24,310.600006,312.100006,309.500000,312.100006,312.100006,20
2021-08-25,311.450012,314.600006,311.100006,313.549988,313.549988,0
2021-08-26,312.549988,313.299988,311.399994,311.799988,311.799988,88
2021-08-27,311.049988,315.799988,310.649994,315.799988,315.799988,9
2021-08-30,315.950012,321.649994,315.649994,321.649994,321.649994,0
2021-08-31,323.049988,323.100006,320.899994,321.750000,321.750000,0
2021-09-01,322.200012,324.100006,319.350006,324.100006,324.100006,0
2021-09-02,322.899994,323.149994,316.649994,316.899994,316.899994,25
2021-09-03,316.350006,317.250000,314.500000,316.299988,316.299988,0
2021-09-06,318.600006,319.450012,318.100006,319.450012,319.450012,0
2021-09-07,318.350006,321.549988,316.350006,321.549988,321.549988,0
2021-09-08,323.549988,323.549988,317.649994,317.649994,317.649994,0
2021-09-09,317.899994,321.100006,317.899994,318.899994,318.899994,0
2021-09-10,321.000000,323.500000,320.149994,323.500000,323.500000,1
2021-09-13,322.200012,324.649994,317.750000,318.700012,318.700012,0
2021-09-14,319.049988,319.700012,316.500000,318.799988,318.799988,0
2021-09-15,319.100006,319.649994,311.850006,314.700012,314.700012,0
2021-09-16,316.500000,317.549988,314.600006,315.200012,315.200012,50
2021-09-17,318.000000,318.000000,310.899994,310.899994,310.899994,10
2021-09-20,308.000000,308.000000,300.399994,300.399994,300.399994,0
2021-09-21,305.450012,306.399994,304.149994,304.600006,304.600006,12
2021-09-22,305.500000,306.399994,291.000000,293.399994,293.399994,0
2021-09-23,295.500000,296.899994,293.049988,295.000000,295.000000,0
2021-09-24,295.000000,300.549988,292.600006,300.299988,300.299988,0
2021-09-27,303.000000,303.100006,296.850006,301.649994,301.649994,4
2021-09-28,300.850006,300.850006,291.500000,291.950012,291.950012,5
2021-09-29,293.350006,295.549988,292.399994,292.950012,292.950012,0
2021-09-30,296.350006,296.350006,293.350006,293.350006,293.350006,0
2021-10-01,292.350006,296.799988,290.950012,296.450012,296.450012,0
2021-10-04,293.100006,293.850006,278.299988,278.299988,278.299988,15
2021-10-05,287.000000,287.700012,282.250000,287.350006,287.350006,219
2021-10-06,285.549988,288.399994,283.100006,287.500000,287.500000,165
2021-10-07,291.500000,293.000000,288.549988,289.950012,289.950012,110
2021-10-08,285.149994,287.899994,284.000000,285.950012,285.950012,21
2021-10-11,282.700012,285.200012,281.899994,282.750000,282.750000,0
2021-10-12,280.600006,282.100006,276.000000,278.750000,278.750000,6
2021-10-13,279.600006,282.350006,279.299988,280.500000,280.500000,0
2021-10-14,282.299988,284.000000,280.450012,283.200012,283.200012,3
2021-10-15,283.549988,284.350006,278.500000,279.850006,279.850006,10
2021-10-18,280.899994,289.200012,279.649994,288.500000,288.500000,114
2021-10-19,289.700012,293.299988,288.700012,293.299988,293.299988,20
2021-10-20,291.500000,294.250000,291.500000,292.049988,292.049988,12
2021-10-21,290.750000,293.649994,290.750000,293.200012,293.200012,46
2021-10-22,281.299988,283.399994,276.700012,277.700012,277.700012,7
2021-10-25,279.000000,280.799988,275.799988,279.799988,279.799988,39
2021-10-26,287.500000,290.450012,269.299988,269.950012,269.950012,14
2021-10-27,273.200012,273.549988,269.600006,272.000000,272.000000,10
2021-10-28,271.399994,271.600006,264.649994,269.950012,269.950012,60
2021-10-29,272.500000,281.200012,272.500000,281.200012,281.200012,12
2021-11-01,281.500000,287.399994,281.500000,283.100006,283.100006,66
2021-11-02,285.450012,288.299988,280.899994,280.899994,280.899994,0
2021-11-03,283.549988,284.399994,281.000000,283.700012,283.700012,56
2021-11-04,287.750000,291.649994,287.750000,290.299988,290.299988,35
2021-11-05,291.200012,299.500000,291.200012,296.049988,296.049988,39
2021-11-08,297.450012,297.899994,293.750000,294.899994,294.899994,33
2021-11-09,292.850006,293.549988,289.399994,289.799988,289.799988,1
2021-11-10,288.549988,288.799988,284.399994,286.649994,286.649994,0
2021-11-11,286.700012,288.799988,286.350006,287.450012,287.450012,0
2021-11-12,287.899994,298.200012,287.149994,296.049988,296.049988,0
2021-11-15,300.000000,307.350006,298.200012,307.299988,307.299988,38
2021-11-16,306.700012,306.700012,301.450012,303.149994,303.149994,17
2021-11-17,303.850006,305.149994,302.100006,302.100006,302.100006,4
2021-11-18,301.899994,303.450012,296.100006,298.250000,298.250000,7
2021-11-19,300.100006,310.899994,299.000000,307.000000,307.000000,36
2021-11-22,307.950012,313.649994,303.899994,306.649994,306.649994,40
2021-11-23,302.750000,302.750000,297.250000,297.250000,297.250000,13
2021-11-24,300.549988,304.500000,298.100006,304.500000,304.500000,45
